modified_ZCTA,neighborhood,borough,COVID_count,population,death_count
10001,Chelsea/NoMad/West Chelsea,Manhattan,9693,27613.09,58
10002,Chinatown/Lower East Side,Manhattan,23849,75322.71,374
10003,East Village/Gramercy/Greenwich Village,Manhattan,16971,53977.81,82
10004,Financial District,Manhattan,1189,2972.12,2
10005,Financial District,Manhattan,2843,8757.23,0
10006,Financial District,Manhattan,1296,3381.8,1
10007,TriBeCa,Manhattan,2264,6991.45,7
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,18613,57151.12,168
10010,Flatiron/Gramercy/Kips Bay,Manhattan,10124,33353,56
10011,Chelsea,Manhattan,16307,49745.99,92
10012,Greenwich Village/SoHo,Manhattan,6937,23152.07,22
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,9707,28818.86,58
10014,Hudson Square/Meatpacking District/West Village,Manhattan,8629,30336.05,43
10016,Kips Bay/Murray Hill/NoMad,Manhattan,17936,50912.11,83
10017,East Midtown/Murray Hill,Manhattan,5686,15613.27,38
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,4633,11790.55,13
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,16554,43522.4,92
10021,Lenox Hill/Upper East Side,Manhattan,10964,45875.54,106
10022,East Midtown,Manhattan,9072,30896.18,69
10023,Lincoln Square,Manhattan,17034,61782.48,110
10024,Upper West Side,Manhattan,14773,58412.05,120
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,26261,91619.93,349
10026,Central Harlem (South),Manhattan,11724,38664.36,114
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,18403,63394.55,208
10028,Upper East Side/Yorkville,Manhattan,12951,47370.29,82
10029,East Harlem,Manhattan,25778,78224.82,395
10030,Central Harlem (North),Manhattan,8502,29269.87,114
10031,Hamilton Heights/West Harlem,Manhattan,17239,59023.53,232
10032,Washington Heights (South),Manhattan,16961,63051.12,267
10033,Washington Heights (North)/Washington Heights (South),Manhattan,16087,58517.81,193
10034,Inwood/Washington Heights (North),Manhattan,11669,42241.84,132
10035,East Harlem,Manhattan,11552,35240.03,229
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,14508,27242.15,75
10037,Central Harlem (North)/East Harlem,Manhattan,6443,20793.37,110
10038,Chinatown/Financial District,Manhattan,6773,22864.58,62
10039,Central Harlem (North)/Washington Heights (South),Manhattan,7683,27180.77,107
10040,Washington Heights (North),Manhattan,12682,43966.32,204
10044,Roosevelt Island,Manhattan,2944,11671.84,50
10065,Lenox Hill/Upper East Side,Manhattan,9470,27899.1,46
